usCity,usState,usRegion,usNumHH,usMedianHHIncome,usMedianMonthlyHHIncome,us1BedRent,us2BedRent
New York, NY,Northeast,7102817,83160,6930,2460,2550
Los Angeles, CA,West,4372678,77774,6481.166667,1900,2660
Chicago, IL,Northeast,3539174,75379,6281.583333,1460,1800
Dallas, TX,South,2635017,72265,6022.083333,1270,1690
Houston, TX,South,2436438,69193,5766.083333,1110,1390
Philadelphia, PA,Northeast,2323207,74533,6211.083333,1390,1710
Washington, DC,Northeast,2251002,105659,8804.916667,1960,2660
Atlanta, GA,South,2189294,71742,5978.5,1500,1880
Miami, FL,South,2187192,60141,5011.75,1580,2000
Boston, MA,Northeast,1855763,94430,7869.166667,2050,2500
Phoenix, AZ,West,1765135,67896,5658,1050,1290
San Francisco, CA,West,1721576,114696,9558,2650,3500
Detroit, MI,Midwest,1720610,63474,5289.5,950,1130
Seattle, WA,West,1541245,94027,7835.583333,1500,1990
Minneapolis, MN,Midwest,1396025,83698,6974.833333,1300,1800
Tampa, FL,South,1228481,57906,4825.5,1250,1400
Denver, CO,West,1152457,85641,7136.75,1400,1920
St Louis, MO,Midwest,1145583,66417,5534.75,1020,1280
San Diego, CA,West,1132434,83985,6998.75,1820,2400
Baltimore, MD,South,1062901,83160,6930,1180,1330
Pittsburgh, PA,Northeast,1028436,62638,5219.833333,1090,1310
Charlotte, NC,South,982241,66399,5533.25,1280,1520
Portland, OR,West,964554,78439,6536.583333,1380,1700
Orlando, FL,South,889822,61876,5156.333333,1300,1410
Cincinnati, OH,Midwest,878645,66825,5568.75,930,1140
Cleveland, OH,Midwest,872626,57228,4769,1080,1150
Sacramento, CA,West,854279,76706,6392.166667,1430,1820
Kansas City, MO,Midwest,844310,70215,5851.25,1040,1170
San Antonio, TX,South,830598,62355,5196.25,970,1200
Austin, TX,South,818084,80954,6746.166667,1190,1540
Columbus, OH,Midwest,817086,67207,5600.583333,880,1100
Las Vegas, NV,West,813607,62107,5175.583333,1000,1200
Indianapolis, IN,Midwest,793781,62502,5208.5,990,1040
Nashville, TN,South,733787,70262,5855.166667,1320,1450
Virginia Beach, VA,South,675311,69329,5777.416667,1190,1320
San Jose, CA,West,662842,130865,10905.41667,2180,2680
Milwaukee, WI,Midwest,635351,65845,5487.083333,1260,1310
Providence, RI,Northeast,627702,70967,5913.916667,1390,1710
Jacksonville, FL,South,584381,65880,5490,1020,1200
Oklahoma City, OK,South,523919,60605,5050.416667,770,900
Raleigh, NC,South,519648,80096,6674.666667,1080,1270
Memphis, TN,South,505048,54859,4571.583333,830,880
Louisville, KY,South,495246,61172,5097.666667,910,1000
Richmond, VA,Northeast,491891,68324,5693.666667,1330,1500
Buffalo, NY,Northeast,488951,60105,5008.75,1050,1110
New Orleans, LA,West,485267,55710,4642.5,1450,1700
Rochester, NY,Northeast,437296,62104,5175.333333,1000,1230
Tucson, AZ,West,410404,56169,4680.75,730,960
Salt Lake City, UT,West,405984,80196,6683,1120,1400
Tulsa, OK,South,387176,57859,4821.583333,630,840
Omaha, NE,Midwest,367037,70373,5864.416667,810,1000
Albuquerque, NM,West,354359,58512,4876,750,950
Knoxville, TN,South,347927,56623,4718.583333,830,1020
Honolulu, HI,West,316456,87470,7289.166667,1480,1900
Fresno, CA,West,315974,57518,4793.166667,1120,1330
Baton Rouge, LA,West,305441,60746,5062.166667,820,950
Greensboro, NC,South,301529,51770,4314.166667,840,940
Akron, OH,Midwest,285647,57158,4763.166667,600,750
Des Moines, IA,Midwest,280056,71164,5930.333333,850,900
Madison, WI,Midwest,279014,75545,6295.416667,1110,1410
Colorado Springs, CO,West,275778,72633,6052.75,1140,1370
Boise, ID,West,275681,66466,5538.833333,1210,1310
Bakersfield, CA,West,272888,53067,4422.25,890,1110
Winston Salem, NC,South,270273,52322,4360.166667,800,890
El Paso, TX,South,270137,48823,4068.583333,720,890
Syracuse, NY,Northeast,255844,61213,5101.083333,850,980
Durham, NC,South,255271,65303,5441.916667,1230,1280
Wichita, KS,Midwest,246836,59779,4981.583333,620,750
Spokane, WA,West,229880,59646,4970.5,920,1190
Chattanooga, TN,South,222950,55366,4613.833333,990,1120
Augusta, GA,South,211969,55143,4595.25,810,910
Lexington, KY,South,205914,60492,5041,780,1000
Reno, NV,West,192402,72132,6011,1070,1470
Shreveport, LA,West,153824,47447,3953.916667,650,750
Corpus Christi, TX,South,153066,56991,4749.25,880,1120
Tallahassee, FL,South,152648,52729,4394.083333,800,910
Anchorage, AK,South,137934,80676,6723,960,1170
Lincoln, NE,Midwest,135008,61539,5128.25,790,900
Lubbock, TX,South,121838,54598,4549.833333,650,850
Laredo, TX,South,76326,56084,4673.666667,680,970
