City,Province,numHH,totalIncome,afterTaxIncome,monthlyAfterTaxIncome,rentBachelor,rent1Bed,rent2Bed,rent3Bed,ratioBachelor,ratio1Bed,ratio2Bed,ratio3Bed
Toronto,Ontario,2135910,78373,68632,5719,1206,1424,1636,1834,0.211,0.249,0.286,0.321
Montreal,Quebec,1727310,61790,53738,4478,710,860,928,1112,0.159,0.192,0.207,0.248
Vancouver,British Columbia,960890,72662,63365,5280,1259,1418,1793,2222,0.238,0.269,0.34,0.421
Ottawa-Gatineau,Ontario,535495,82053,69904,5825,955,1188,1344,1446,0.164,0.204,0.231,0.248
Calgary,Alberta,519695,99583,84773,7064,886,1090,1344,1539,0.125,0.154,0.19,0.218
Edmonton,Alberta,502145,94447,80578,6715,881,1031,1273,1388,0.131,0.154,0.19,0.207
Quebec City,Quebec,361890,65359,55890,4658,617,795,922,1093,0.132,0.171,0.198,0.235
Winnipeg,Manitoba,306550,70795,60846,5071,761,996,1266,1585,0.15,0.196,0.25,0.313
Hamilton,Ontario,293345,75464,66100,5508,910,1103,1294,1515,0.165,0.2,0.235,0.275
London,Ontario,206445,64743,57576,4798,795,1013,1226,1470,0.166,0.211,0.256,0.306
Kitchener-Cambridge-Waterloo,Ontario,200495,77229,67654,5638,879,1084,1306,1448,0.156,0.192,0.232,0.257
Halifax,Nova Scotia,173460,69522,59240,4937,872,1023,1264,1475,0.177,0.207,0.256,0.299
St. Catharines-Niagara,Ontario,168485,63001,56572,4714,842,997,1166,1398,0.179,0.211,0.247,0.297
Victoria,British Columbia,162715,70283,61119,5093,1019,1192,1514,1768,0.2,0.234,0.297,0.347
Oshawa,Ontario,138965,85697,74061,6172,957,1193,1362,1517,0.155,0.193,0.221,0.246
Windsor,Ontario,132910,65983,58679,4890,709,917,1083,1316,0.145,0.188,0.221,0.269
Saskatoon,Saskatchewan,115280,82999,71621,5968,731,961,1168,1288,0.122,0.161,0.196,0.216
Sherbrooke,Quebec,95575,53747,47558,3963,489,571,682,831,0.123,0.144,0.172,0.21
Regina,Saskatchewan,94955,84447,72372,6031,759,952,1158,1349,0.126,0.158,0.192,0.224
St. John's,Newfoundland and Labrador,85015,79750,68121,5677,750,852,997,956,0.132,0.15,0.176,0.168
Kelowna,British Columbia,81380,71127,62366,5197,1038,1145,1391,1656,0.2,0.22,0.268,0.319
Barrie,Ontario,72535,80788,70409,5867,934,1212,1412,1662,0.159,0.207,0.241,0.283
Trois-Rivieres,Quebec,72505,51850,45927,3827,430,525,614,687,0.112,0.137,0.16,0.18
Saguenay,Quebec,72475,59243,51625,4302,452,529,655,709,0.105,0.123,0.152,0.165
Greater Sudbury,Ontario,70445,71687,62774,5231,726,971,1175,1300,0.139,0.186,0.225,0.249
Kingston,Ontario,67915,71195,62652,5221,852,1154,1342,1966,0.163,0.221,0.257,0.377
Abbotsford-Mission,British Columbia,62630,73598,64890,5408,762,958,1153,1553,0.141,0.177,0.213,0.287
Moncton,New Brunswick,61770,62871,55165,4597,689,790,966,1112,0.15,0.172,0.21,0.242
Guelph,Ontario,59280,81223,70503,5875,871,1217,1361,1359,0.148,0.207,0.232,0.231
Thunder Bay,Ontario,52545,68476,60536,5045,753,907,1109,1271,0.149,0.18,0.22,0.252
Brantford,Ontario,52530,68756,61117,5093,763,1057,1174,1281,0.15,0.208,0.231,0.252
Peterborough,Ontario,50530,64777,57876,4823,837,1006,1205,1434,0.174,0.209,0.25,0.297
Lethbridge,Alberta,45695,75452,66779,5565,789,947,1052,1231,0.142,0.17,0.189,0.221
Belleville,Ontario,43005,63902,57010,4751,908,1079,1178,1463,0.191,0.227,0.248,0.308
